Code,Text,DDD,Ebene,Parent
A,ALIMENTÄRES SYSTEM UND STOFFWECHSEL,,1,
A01,STOMATOLOGIKA,,2,A
A01A,STOMATOLOGIKA,,3,A01
A01AA,Mittel zur Kariesprophylaxe,,4,A01A
A01AA01,Natriumfluorid,"1,1 mg O 0,5 mg Fluorid",5,A01AA
A01AA02,Natriummonofluorphosphat,,5,A01AA
A01AA03,Olaflur,"1,1 mg O",5,A01AA
A01AA04,Zinn(II)-fluorid,,5,A01AA
A01AA05,Fluorsilan,,5,A01AA
A01AA30,Kombinationen,,5,A01AA
A01AA51,"Natriumfluorid, Kombinationen",,5,A01AA
A01AB,Antiinfektiva und Antiseptika zur oralen Lokalbehandlung,,4,A01A
A01AB02,Wasserstoffperoxid,60 mg O,5,A01AB
A01AB03,Chlorhexidin,30 mg O,5,A01AB
A01AB04,Amphotericin B,40 mg O,5,A01AB
A01AB05,Polynoxylin,"0,18 g O",5,A01AB
A01AB06,Domiphen,3 mg O,5,A01AB
A01AB07,Oxychinolin,80 mg O,5,A01AB
A01AB08,Neomycin,,5,A01AB
A01AB09,Miconazol,"0,2 g O",5,A01AB
A01AB10,Natamycin,20 mg O,5,A01AB
A01AB11,Verschiedene,,5,A01AB
A01AB12,Hexetidin,,5,A01AB
A01AB13,Tetracyclin,,5,A01AB
A01AB14,Benzoxoniumchlorid,,5,A01AB
A01AB15,Tibezoniumiodid,,5,A01AB
A01AB16,Mepartricin,,5,A01AB
A01AB17,Metronidazol,,5,A01AB
A01AB18,Clotrimazol,,5,A01AB
A01AB19,Natriumperborat,,5,A01AB
A01AB21,Chlortetracyclin,,5,A01AB
A01AB22,Doxycyclin,,5,A01AB
A01AB23,Minocyclin,1 mg O,5,A01AB
A01AB24,Thymol,,5,A01AB
A01AB26,Aluminiumchlorid,,5,A01AB
A01AB27,Ethacridinlactat,,5,A01AB
A01AB29,Eugenol,,5,A01AB
A01AB31,Natriumhypochlorit,,5,A01AB
A01AB32,Natriumpercarbonat,,5,A01AB
A01AB33,Nystatin,500 TSD E O ,5,A01AB
A01AB36,Aluminiumchlorat,,5,A01AB
A01AB37,Aluminiumsulfat,,5,A01AB
A01AB39,Andere Aluminium-haltige Verbindungen,,5,A01AB
A01AB50,Kombinationen,,5,A01AB
A01AB53,"Chlorhexidin, Kombinationen",,5,A01AB
A01AB57,"Oxychinolin, Kombinationen",,5,A01AB
A01AB62,"Hexetidin, Kombinationen",,5,A01AB
A01AB75,"Chlorphenol, Kombinationen",,5,A01AB
A01AB76,"Aluminiumchlorid, Kombinationen",,5,A01AB
A01AB78,"Sulfanilamid, Kombinationen",,5,A01AB
A01AB84,"Paraformaldehyd, Kombinationen",,5,A01AB
A01AB85,"Formaldehyd, Kombinationen",,5,A01AB
A01AB88,"Azulen, Kombinationen",,5,A01AB
A01AB90,"Demeclocyclin, Kombinationen",,5,A01AB
A01AC,Corticosteroide zur oralen Lokalbehandlung,,4,A01A
A01AC01,Triamcinolon,,5,A01AC
A01AC02,Dexamethason,,5,A01AC
A01AC03,Hydrocortison,,5,A01AC
A01AC04,Prednisolon,,5,A01AC
A01AC05,Betamethason,,5,A01AC
A01AC54,"Prednisolon, Kombinationen",,5,A01AC
A01AD,Andere Mittel zur oralen Lokalbehandlung,,4,A01A
A01AD01,Epinephrin,,5,A01AD
A01AD02,Benzydamin,,5,A01AD
A01AD05,Acetylsalicylsäure,,5,A01AD
A01AD06,Adrenalon,,5,A01AD
A01AD07,Amlexanox,,5,A01AD
A01AD08,Becaplermin,,5,A01AD
A01AD11,Verschiedene,,5,A01AD
A01AD18,Cholinsalicylat,,5,A01AD
A01AD20,Carbenoxolon,,5,A01AD
A01AD22,Milchsäure,,5,A01AD
A01AD50,"Andere Mittel zur oralen Lokalbehandlung, Kombinationen",,5,A01AD
A01AD65,"Dexpanthenol, Kombinationen",,5,A01AD
A01AD69,"Mineralsalz, Kombinationen",,5,A01AD
A01AD71,"Salicylate, Kombinationen",,5,A01AD
A01AD72,Speichelersatzlösungen,,5,A01AD
A01AE,Lokalanästhetika für die orale Lokalbehandlung,,4,A01A
A01AE01,Lidocain,,5,A01AE
A01AE02,Tetracain,,5,A01AE
A01AE05,Polidocanol (Lauromacrogol 400),,5,A01AE
A01AE51,"Lidocain, Kombinationen",,5,A01AE
A01AE52,"Tetracain, Kombinationen",,5,A01AE
A01AE53,"Benzocain, Kombinationen",,5,A01AE
A01AE54,"Propipocain, Kombinationen",,5,A01AE
A01AE55,"Polidocanol (Lauromacrogol 400), Kombinationen",,5,A01AE
A01AH,Homöopathische und anthroposophische Stomatologika,,4,A01A
A01AH20,Kombinationen,,5,A01AH
A01AP,Pflanzliche Stomatologika,,4,A01A
A01AP01,Myrrhentinktur,,5,A01AP
A01AP02,Kamillenblüten,,5,A01AP
A01AP03,Salbeiblätter,,5,A01AP
A01AP10,Verschiedene,,5,A01AP
A01AP30,Kombinationen,,5,A01AP
A01AP50,"Andere pflanzliche Stomatologika, Kombinationen",,5,A01AP
A01AP52,"Kamillenblüten, Kombinationen",,5,A01AP
A02,MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN,,2,A
A02A,ANTACIDA,,3,A02
A02AA,Magnesium-haltige Verbindungen,,4,A02A
A02AA01,Magnesiumcarbonat,,5,A02AA
A02AA02,Magnesiumoxid,,5,A02AA
A02AA03,Magnesiumperoxid,,5,A02AA
A02AA04,Magnesiumhydroxid,3 g O,5,A02AA
A02AA05,Magnesiumsilikat,,5,A02AA
